"filename", "language", "JavaScript", "PostCSS", "JSON", "XML", "Markdown", "HTML", "Log", "comment", "blank", "total"
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/README.old.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 11, 36
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/data.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/firebase.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/package-lock.json", "JSON", 0, 0, 55986, 0, 0, 0, 0, 0, 1, 55987
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 1, 49
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/public/index.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 23, 1, 45
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/App.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/assets/image/logo/Reservia.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/router/Router.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 6, 1, 32
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activityDetails/HoursDatePicker.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 13, 84
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activityDetails/Info.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 25, 198
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activityDetails/numberOfBuyers/NumberOfBuyers.js", "JavaScript", 353, 0, 0, 0, 0, 0, 0, 0, 21, 374
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activités/AllActivitiesCards.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 16, 113
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activités/CardActivity.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 11, 90
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/form/dataPicker/DatePickerComps.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 17, 119
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/form/numberOfBuyers/NumberOfBuyers.js", "JavaScript", 351, 0, 0, 0, 0, 0, 0, 0, 20, 371
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/info/Info.js", "JavaScript", 172, 0, 0, 0, 0, 0, 0, 0, 23, 195
