Date : 2022-08-17 16:45:55
Directory : /Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react
Total : 60 files,  60683 codes, 209 comments, 696 blanks, all 61588 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     56,091 |          0 |          5 |     56,096 |
| JavaScript |         48 |      4,485 |        186 |        639 |      5,310 |
| Markdown   |          2 |         63 |          0 |         44 |        107 |
| HTML       |          1 |         21 |         23 |          1 |         45 |
| PostCSS    |          2 |         19 |          0 |          5 |         24 |
| XML        |          1 |          3 |          0 |          1 |          4 |
| Log        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |         60 |     60,683 |        209 |        696 |     61,588 |
| public                                                                                                                  |          2 |         46 |         23 |          2 |         71 |
| src                                                                                                                     |         51 |      4,507 |        186 |        645 |      5,338 |
| src/assets                                                                                                              |          1 |          3 |          0 |          1 |          4 |
| src/assets/image                                                                                                        |          1 |          3 |          0 |          1 |          4 |
| src/assets/image/logo                                                                                                   |          1 |          3 |          0 |          1 |          4 |
| src/components                                                                                                          |         28 |      3,736 |         37 |        505 |      4,278 |
| src/components/router                                                                                                   |          1 |         25 |          6 |          1 |         32 |
| src/components/ui                                                                                                       |         27 |      3,711 |         31 |        504 |      4,246 |
| src/components/ui/activityDetails                                                                                       |          3 |        597 |          0 |         59 |        656 |
| src/components/ui/activityDetails/numberOfBuyers                                                                        |          1 |        353 |          0 |         21 |        374 |
| src/components/ui/activités                                                                                             |          2 |        176 |          0 |         27 |        203 |
| src/components/ui/detailsPage                                                                                           |          7 |        971 |          2 |        115 |      1,088 |
| src/components/ui/detailsPage/form                                                                                      |          2 |        453 |          0 |         37 |        490 |
| src/components/ui/detailsPage/form/dataPicker                                                                           |          1 |        102 |          0 |         17 |        119 |
| src/components/ui/detailsPage/form/numberOfBuyers                                                                       |          1 |        351 |          0 |         20 |        371 |
| src/components/ui/detailsPage/info                                                                                      |          1 |        172 |          0 |         23 |        195 |
| src/components/ui/detailsPage/modal                                                                                     |          2 |         91 |          0 |         16 |        107 |
| src/components/ui/detailsPage/modalSlider                                                                               |          1 |        115 |          2 |         21 |        138 |
| src/components/ui/detailsPage/slider                                                                                    |          1 |        140 |          0 |         18 |        158 |
| src/components/ui/header                                                                                                |          5 |        474 |         12 |         67 |        553 |
| src/components/ui/header/modal                                                                                          |          5 |        474 |         12 |         67 |        553 |
